laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
S12000033,ABERDEEN CITY,40,48.1,1000,6.2,18.1,56.1,65.2,546,10,16.8,900,1,2.5,15.5,24.4,490.3,457,2078,5437,21720,56249,1071,57320,0.4,0.2,0.1,0.3,0.5,0.5,0.7
S12000034,ABERDEENSHIRE,38,39.1,1000,5.3,19.3,55,56.1,370.7,8.1,8.8,115,0.9,2.7,13.3,13.4,53.2,1929,5047,7703,23761,56467,201,56668,0.4,0.2,0.2,0.3,0.5,0.5,0.9
E07000223,ADUR,69.2,90.7,484,6.6,18.6,96.1,113.4,382.8,10,12,50,1,2.4,13.8,15,34.4,66,281,948,4179,17048,1092,18140,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000026,ALLERDALE,39.9,41.9,1000,5,18.8,55.5,56,373.3,10,9.8,115,0.9,2.3,13.8,13.9,49.4,655,1332,1794,8474,23772,36,23808,0.4,0.2,0.1,0.3,0.4,0.4,0.9
E07000032,AMBER VALLEY,39.9,49.7,1000,5.8,18.9,62.4,68.1,393.3,10,10.1,115,0.9,2.8,13.8,14.2,36.9,370,1598,3163,10435,29214,511,29725,0.4,0.2,0.1,0.2,0.4,0.4,0.6
S12000041,ANGUS,39.1,46.4,1000,5.4,18.9,62.3,67,378.7,9.5,9.2,115,0.9,2.5,13.5,13.8,36,802,1792,3230,11425,26375,398,26773,0.4,0.2,0.1,0.3,0.5,0.5,0.5
N09000001,ANTRIM AND NEWTOWNABBEY,54.8,71.1,1000,5.2,18.6,79.2,91.8,389.6,10,11.6,220,0.9,2.4,14.2,15.1,37,750,2015,2785,7807,35896,1510,37406,0.4,0.2,0.1,0.3,0.5,0.5,0.6
N09000011,ARDS AND NORTH DOWN,54.8,67.4,1000,5.4,18.9,73.2,84.3,388.4,10,12,220,0.9,2.5,14.3,15.1,36.7,548,1847,2951,9018,44128,1601,45729,0.4,0.2,0.1,0.2,0.5,0.5,0.6
S12000035,ARGYLL AND BUTE,37.8,37.7,1000,5.2,19.5,55.1,55.5,376.2,8,8.6,115,0.7,2.7,13.2,13.2,53.8,1097,1848,3447,9692,21492,29,21521,0.4,0.2,0.1,0.2,0.4,0.4,0.9
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",40,53.1,1000,5.1,18.6,65,71.1,406,10,10.6,2769.51,0.9,2.4,14.2,14.6,39.3,1254,3026,4163,13247,46890,855,47745,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E07000224,ARUN,39.8,42.7,1000,6.1,19,53.9,57.2,359.4,9.9,10.8,180,1,3,13.7,15.1,144.4,366,1753,4216,13877,38218,427,38645,0.4,0.2,0.1,0.3,0.5,0.5,0.5
E07000170,ASHFIELD,74,91.3,1000,5.7,18.6,95.5,110.9,380.7,10,12.1,115,0.9,2.7,13.5,14.6,34.5,275,1081,2058,5700,34065,1949,36014,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000105,ASHFORD,50,67.2,1000,5,19.4,74.1,86.8,375.4,10,12.2,180,0.9,3.1,13.9,15.8,58.8,758,1973,2447,6890,31776,1409,33185,0.4,0.2,0.2,0.4,0.5,0.5,0.6
E07000200,BABERGH,39.8,46.1,1000,5.4,19.8,56.9,60.9,361.7,9.8,10.5,180,0.9,3.1,13.3,14.4,97.3,458,1054,1845,7641,22442,298,22740,0.4,0.2,0.2,0.3,0.4,0.4,0.5
E09000002,BARKING AND DAGENHAM,70.8,86.9,1000,5.7,17.9,90.9,104.8,371.3,10,12.5,125.64,0.9,2.7,13.9,15,35.5,427,1776,3520,6195,47376,2455,49831,0.6,0.4,0.2,0.3,0.6,0.6,0.7
E09000003,BARNET,54.1,65.8,1000,6.3,18.1,73,82.4,376.5,10,12.1,115,1,2.7,14.7,15.3,35.3,524,2385,7072,19886,90059,2892,92951,0.4,0.4,0.1,0.3,0.6,0.6,0.6
E08000016,BARNSLEY,47.3,67.3,2480.86,5.5,18.9,75.6,86.6,393,10,11.1,165,0.9,2.9,13.5,14.3,35,717,2889,4735,14338,60748,2163,62911,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000027,BARROW-IN-FURNESS,40,44.1,1000,5.5,18.8,54.9,55.2,363.5,10,11,115,0.9,2.4,14.4,14.4,53.3,183,754,1167,4766,18176,20,18196,0.4,0.2,0.2,0.3,0.4,0.4,1.1
E07000066,BASILDON,54.8,79.8,1000,6.1,18.3,84.6,102.2,381.1,10,11.7,115,1,2.7,13.7,15,34.6,345,1551,3762,11387,46951,2962,49913,0.6,0.4,0.2,0.5,0.6,0.6,0.7
E07000084,BASINGSTOKE AND DEANE,54.8,72.3,1124,5.2,19.3,73.9,88.1,403.3,10,13.2,300,0.9,2.9,14.1,16.2,62.3,582,2127,2609,8671,49454,2228,51682,0.4,0.2,0.2,0.3,0.4,0.5,0.6
E07000171,BASSETLAW,39.9,50,1000,5.2,19.5,60.2,66,379.2,10,10.4,220,1,3.2,13.6,14,37.6,571,1475,2195,8755,28166,514,28680,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E06000022,BATH AND NORTH EAST SOMERSET,43.8,65.5,2480.86,5.7,18.5,76.1,88.9,373.5,10,11.7,300,0.9,2.3,13.9,16.1,66.4,588,2132,3925,13854,42872,1914,44786,0.4,0.2,0.1,0.2,0.4,0.4,0.6
